dataset,method,auc,pr,runtime,seed,shuffled
fraud,HST,0.912270181,0.176071358,331.5468435,8,FALSE
fraud,HST,0.918172268,0.216201185,331.4076138,1,FALSE
fraud,HST,0.905759142,0.244553169,332.0863276,9,FALSE
fraud,HST,0.900192983,0.165137848,328.5396228,5,FALSE
http,HST,0.319942869,0.018977139,662.7088695,3,FALSE
http,HST,0.313619528,0.012420186,666.7629428,9,FALSE
http,HST,0.30212474,0.008606891,660.0835488,7,FALSE
http,HST,0.318017348,0.0181881,660.7207263,0,FALSE
http,HST,0.315792097,0.014944806,664.131871,8,FALSE
http,HST,0.318762474,0.021040265,655.8473694,2,FALSE
http,HST,0.31313647,0.011056623,663.0926783,1,FALSE
http,HST,0.308005389,0.009672223,671.4183602,5,FALSE
http,HST,0.309420367,0.012383606,666.6375065,6,FALSE
http,HST,0.308929203,0.011066672,665.7138145,4,FALSE
mammography,HST,0.812579314,0.080093275,13.10015392,8,FALSE
mammography,HST,0.814977218,0.092562697,13.44213176,7,FALSE
mammography,HST,0.79675121,0.063502419,11.69122076,1,FALSE
mammography,HST,0.81471947,0.078339955,12.24771547,5,FALSE
mammography,HST,0.796926035,0.070244386,13.17357826,9,FALSE
mammography,HST,0.801053881,0.071642606,11.8131988,0,FALSE
mammography,HST,0.801253882,0.073498876,12.09981942,6,FALSE
mammography,HST,0.81654325,0.077437416,13.08083606,2,FALSE
mammography,HST,0.807887908,0.07150354,13.113343,3,FALSE
mammography,HST,0.785593561,0.057572534,13.22755814,4,FALSE
mulcross,HST,0.297480335,0.065191893,327.74862,8,FALSE
mulcross,HST,0.320480226,0.067251857,330.5687926,7,FALSE
mulcross,HST,0.305728916,0.06591207,332.1467741,3,FALSE
mulcross,HST,0.312609202,0.066524015,325.3011818,5,FALSE
mulcross,HST,0.333138527,0.068462019,328.8088484,2,FALSE
mulcross,HST,0.314839071,0.066725104,329.4861774,6,FALSE
mulcross,HST,0.351106269,0.070289181,323.6980023,4,FALSE
mulcross,HST,0.335604248,0.068743858,329.0893302,9,FALSE
mulcross,HST,0.311554284,0.066422982,327.6939209,0,FALSE
mulcross,HST,0.352541704,0.070552542,323.5772336,1,FALSE
nyc taxi,HST,0.617076521,0.084429887,12.22139764,6,FALSE
nyc taxi,HST,0.617076521,0.084429887,11.98956394,7,FALSE
nyc taxi,HST,0.617076521,0.084429887,11.43685102,2,FALSE
nyc taxi,HST,0.617076521,0.084429887,11.93154359,4,FALSE
nyc taxi,HST,0.617076521,0.084429887,12.20304513,0,FALSE
nyc taxi,HST,0.617076521,0.084429887,12.29178524,1,FALSE
nyc taxi,HST,0.617076521,0.084429887,12.23735166,9,FALSE
nyc taxi,HST,0.617076521,0.084429887,11.92628455,8,FALSE
nyc taxi,HST,0.617076521,0.084429887,12.00251985,3,FALSE
nyc taxi,HST,0.617076521,0.084429887,12.680439,5,FALSE
nyc taxi shingle,HST,0.431603217,0.053841114,11.47494364,2,FALSE
nyc taxi shingle,HST,0.431630042,0.052780523,11.53643441,7,FALSE
nyc taxi shingle,HST,0.426644922,0.051211477,12.68595481,8,FALSE
nyc taxi shingle,HST,0.434540831,0.056833072,11.71487284,4,FALSE
nyc taxi shingle,HST,0.421943859,0.051939238,12.71789193,1,FALSE
nyc taxi shingle,HST,0.424913662,0.05316858,11.97635341,6,FALSE
nyc taxi shingle,HST,0.418862444,0.051629995,11.51708746,5,FALSE
nyc taxi shingle,HST,0.41418811,0.052023408,12.34725356,9,FALSE
nyc taxi shingle,HST,0.428807679,0.053586386,12.16123271,3,FALSE
nyc taxi shingle,HST,0.409127976,0.048772398,12.00881147,0,FALSE
shuttle,HST,0.978482819,0.902557031,77.53915429,6,FALSE
shuttle,HST,0.978915136,0.908253954,77.30861616,9,FALSE
shuttle,HST,0.97889588,0.911043293,78.70305681,4,FALSE
shuttle,HST,0.977721815,0.906776013,76.83865809,5,FALSE
shuttle,HST,0.978161858,0.901700434,74.56831932,1,FALSE
shuttle,HST,0.979506702,0.907365196,74.73972297,2,FALSE
shuttle,HST,0.978661288,0.905952907,77.81929326,3,FALSE
shuttle,HST,0.978630605,0.903124861,79.32324815,0,FALSE
shuttle,HST,0.977680985,0.906984464,78.43118095,8,FALSE
shuttle,HST,0.977633972,0.904638607,80.21571732,7,FALSE
smtp,HST,0.829001184,0.018577707,108.1989219,9,FALSE
smtp,HST,0.841297858,0.014112152,109.5104036,4,FALSE
smtp,HST,0.834897574,0.012156541,109.6638258,6,FALSE
smtp,HST,0.841224271,0.0145805,106.2011614,2,FALSE
smtp,HST,0.837068379,0.016655181,109.4674084,1,FALSE
smtp,HST,0.84190302,0.008575564,113.007829,7,FALSE
smtp,HST,0.833068071,0.014360462,110.1174679,3,FALSE
smtp,HST,0.844588055,0.015027843,106.8963661,8,FALSE
smtp,HST,0.830703138,0.018688483,111.5961857,0,FALSE
smtp,HST,0.83954159,0.009692625,110.6167688,5,FALSE
insects,HST,0.751038202,0.220682729,130.0188956,7,FALSE
insects,HST,0.75474087,0.216952631,130.1962376,8,FALSE
insects,HST,0.764464882,0.22911656,130.5502906,11,FALSE
insects,HST,0.77895222,0.256791547,129.45226,14,FALSE
insects,HST,0.780982754,0.228626393,132.6870534,13,FALSE
insects,HST,0.770632067,0.232629483,130.4414055,10,FALSE
insects,HST,0.763961783,0.212021965,129.3394296,5,FALSE
insects,HST,0.759437167,0.222658159,158.3129849,6,FALSE
insects,HST,0.764854343,0.252383067,156.9810143,9,FALSE
insects,HST,0.759768356,0.221313139,129.5493438,12,FALSE
Tuesday-WorkingHours,HST,0.608475738,0.03636189,373.1405876,9,FALSE
Tuesday-WorkingHours,HST,0.627957714,0.037652492,374.3183045,11,FALSE
Tuesday-WorkingHours,HST,0.666046517,0.045431785,386.0165854,6,FALSE
Tuesday-WorkingHours,HST,0.668005433,0.043068865,348.6606166,13,FALSE
Tuesday-WorkingHours,HST,0.649942481,0.04108459,295.6723351,12,FALSE
Tuesday-WorkingHours,HST,0.611123244,0.036506153,297.8055096,14,FALSE
Tuesday-WorkingHours,HST,0.648432631,0.041611336,343.3173089,8,FALSE
Tuesday-WorkingHours,HST,0.642376597,0.039644058,316.4922826,10,FALSE
Tuesday-WorkingHours,HST,0.662693813,0.044640655,306.4436431,5,FALSE
Tuesday-WorkingHours,HST,0.655062617,0.040115471,317.1940427,7,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.478177548,0.011153279,123.9286187,14,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.531900377,0.012433759,122.4528415,12,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.604417669,0.014743208,119.5798814,7,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.58019159,0.013920749,112.5079751,13,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.4898145,0.011394174,139.0827363,9,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.516324336,0.012065388,109.5466626,11,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.605474903,0.014824344,130.8604591,10,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.578874667,0.013838006,147.0207815,5,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.569234473,0.013547307,137.2939348,6,FALSE
Thursday-WorkingHours-Morning-WebAttacks,HST,0.468090171,0.010872841,135.3639615,8,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.911640087,0.001753871,178.0126405,8,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.909927692,0.00222778,181.0124595,6,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.909278072,0.002057317,179.6032474,9,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.899755265,0.001979682,250.8388646,14,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.903785442,0.001622727,249.5677037,13,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.912477321,0.001885349,181.0066545,5,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.913837254,0.002092708,184.0805447,11,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.910623037,0.001848973,241.9891963,12,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.906798425,0.001557027,239.571717,10,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,HST,0.893073085,0.001484734,249.9617844,7,FALSE
Friday-WorkingHours-Morning,HST,0.557646983,0.010510601,142.6352639,11,FALSE
Friday-WorkingHours-Morning,HST,0.576911354,0.011007187,133.8519044,10,FALSE
Friday-WorkingHours-Morning,HST,0.587019907,0.011280512,132.1495728,7,FALSE
Friday-WorkingHours-Morning,HST,0.544944697,0.010424664,118.5317962,14,FALSE
Friday-WorkingHours-Morning,HST,0.549023706,0.010379547,133.3678784,9,FALSE
Friday-WorkingHours-Morning,HST,0.549518685,0.010610747,120.0499551,8,FALSE
Friday-WorkingHours-Morning,HST,0.600877573,0.011773146,118.3802352,6,FALSE
Friday-WorkingHours-Morning,HST,0.600140745,0.011621868,123.8323522,5,FALSE
Friday-WorkingHours-Morning,HST,0.614102985,0.012049116,127.0697584,13,FALSE
Friday-WorkingHours-Morning,HST,0.555254693,0.010556497,135.9252014,12,FALSE
